	clean_soil_DNA_FAO38935	cleansoil_flongle_DNA_AGE664	DNAsoilfloAJA479	DNAsoilfloAJC256	DNAsoilfloFAL61026	DNAsoilfloFAN24302	soil_flongle_cDNA_AIK045	soil_flongle_DNA_AGB452	tuber_flongle_cDNA_AIG433
Alternaria alternata	23	2	6	4	144	157	16	2	2
Alternaria solani	42	3	3	2	99	151	9	1	1
Ca Liberibacter solanacearum	53	8	9	4	164	119	563	4	29
Clavibacter michiganensis sepedonicus	3332	1141	568	379	7435	17888	368	103	12
Colletotrichum coccodes	81	22	19	15	373	356	7	2	4
Dickeya dadantii	690	190	72	90	648	1767	637	11	241
Dickeya dianthicola	647	153	64	86	615	1646	586	9	206
Dickeya solani	596	163	52	86	608	1595	587	9	211
Fusarium oxysporum	88	4	8	13	418	285	23	9	6
Fusarium sambucinum	26	1	3	5	247	149	23	1	0
Globodera ellingtonae	80	4	10	33	126	140	3	1	0
Globodera pallida	91	6	25	66	173	255	15	1	0
Globodera rostachiensis	184	9	59	128	346	514	12	2	0
Helminthosporium solani	70	8	6	13	154	160	4	0	0
Meloidogyne chitwoodi	6	0	1	1	15	8	0	0	0
Meloidogyne fallax	0	0	0	0	0	0	0	0	0
Meloidogyne hapla	74	18	8	17	111	269	10	0	0
Meloidogyne incognita	22	1	6	12	60	70	5	0	0
Pectobacterium atrosepticum	108	20	6	8	3066	249	645	5	307
Pectobacterium carotovora	137	33	14	14	7533	355	701	3	423
Phytophthora erythroseptica	0	0	0	0	6	2	0	0	0
Phytophthora infestans	46	5	4	7	63	138	40	0	1
Potato leaf roll virus, PLRV	0	0	0	0	0	0	0	0	0
Potato mop top virus, PMTV	0	0	0	0	0	0	0	0	6
Potato virus Y, PVY	0	0	0	0	0	0	0	0	0
Pratylenchus neglectus	0	0	0	0	0	0	0	0	0
Pratylenchus penetrans	0	0	0	0	0	0	0	0	0
Pythium ultimum	80	16	16	14	123	264	25	2	2
Ralstonia solanacearum	5388	1260	768	982	6370	16885	1668	86	122
Rhizoctonia solani	1	1	0	3	33	30	15	0	1
Sclerotinia sclerotiorum	79	14	13	11	543	154	13	3	6
Athelia rolfsii	5	3	0	1	17	13	22	0	1
Spongospora subterranea	3	0	8	43	3921	20	13	101	0
Streptomyces spp.	4186	1551	1111	645	15038	34389	377	455	8
Synchytrium endobioticum	2	0	0	0	2	4	10	0	1
Tobacco Rattle Virus, TRV	0	0	0	0	0	0	0	0	0
Verticillium dahliae	119	23	20	20	341	511	9	5	13
Stuberosum	55	7	9	10	277	144	10	2	171
