	clean_soil_DNA_FAO38935	cleansoil_flongle_DNA_AGE664	DNAsoilfloAJA479	DNAsoilfloAJC256	DNAsoilfloFAL61026	DNAsoilfloFAN24302	soil_flongle_cDNA_AIK045	soil_flongle_DNA_AGB452	tuber_flongle_cDNA_AIG433
Alternaria alternata	0	0	0	0	0	0	0	0	0
Alternaria solani	0	0	0	0	0	1	0	0	0
Ca Liberibacter solanacearum	0	0	0	0	0	0	0	0	0
Clavibacter michiganensis sepedonicus	0	0	0	0	0	0	0	0	0
Colletotrichum coccodes	0	0	0	0	0	0	0	0	0
Dickeya dadantii	0	0	0	0	0	0	0	0	0
Dickeya dianthicola	0	0	0	0	0	0	0	0	0
Dickeya solani	0	0	0	0	0	0	0	0	0
Fusarium oxysporum	0	0	0	0	3	1	0	0	0
Fusarium sambucinum	0	0	0	0	0	0	0	0	0
Globodera ellingtonae	0	0	0	0	0	0	0	0	0
Globodera pallida	0	0	0	0	0	0	0	0	0
Globodera rostachiensis	0	0	0	0	0	0	0	0	0
Helminthosporium solani	0	0	0	0	0	0	0	0	0
Meloidogyne chitwoodi	0	0	0	0	0	0	0	0	0
Meloidogyne fallax	0	0	0	0	0	0	0	0	0
Meloidogyne hapla	0	0	0	0	0	0	0	0	0
Meloidogyne incognita	0	0	0	0	0	0	0	0	0
Pectobacterium atrosepticum	0	0	0	0	1	0	0	0	0
Pectobacterium carotovora	0	0	0	0	4	0	0	0	0
Phytophthora erythroseptica	0	0	0	0	0	0	0	0	0
Phytophthora infestans	0	0	0	0	0	0	0	0	0
Potato leaf roll virus, PLRV	0	0	0	0	0	0	0	0	0
Potato mop top virus, PMTV	0	0	0	0	0	0	0	0	0
Potato virus Y, PVY	0	0	0	0	0	0	0	0	0
Pratylenchus neglectus	0	0	0	0	0	0	0	0	0
Pratylenchus penetrans	0	0	0	0	0	0	0	0	0
Pythium ultimum	0	0	0	0	0	0	0	0	0
Ralstonia solanacearum	0	0	0	0	0	0	0	0	0
Rhizoctonia solani	0	0	0	0	0	0	0	0	0
Sclerotinia sclerotiorum	0	0	0	0	0	0	0	0	0
Athelia rolfsii	0	0	0	0	0	0	0	0	0
Spongospora subterranea	0	0	1	3	56	1	0	12	0
Streptomyces spp.	0	0	0	0	0	0	0	0	0
Synchytrium endobioticum	0	0	0	0	0	0	0	0	0
Tobacco Rattle Virus, TRV	0	0	0	0	0	0	0	0	0
Verticillium dahliae	0	0	0	0	0	0	0	0	0
Stuberosum	0	0	0	0	0	0	0	0	3
